run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_full_v1,val,window,Window Features: Dormer Window,873,1175,752,423,121,2609,0.64,0.861397,0.734375
phase3_full_v1,val,window,Window Features: Arch - Segmented,724,1141,647,494,77,2687,0.567046,0.893646,0.693834
phase3_full_v1,val,window,Window Features: Decorative Surround,816,1619,610,1009,206,2080,0.376776,0.747549,0.501027
phase3_full_v1,val,window,Window Features: Grouped Windows,709,1514,488,1026,221,2170,0.322325,0.688293,0.439046
phase3_full_v1,val,window,Window Features: Picture Window,558,1434,358,1076,200,2271,0.249651,0.641577,0.359438
phase3_full_v1,val,window,Window Features: Divided Lights - Some,466,1662,337,1325,129,2114,0.202768,0.723176,0.316729
phase3_full_v1,val,window,Window Features: Transom,281,1227,158,1069,123,2555,0.128769,0.562278,0.209549
phase3_full_v1,val,window,Window Features: Stained/Leaded Glass,294,910,231,679,63,2932,0.253846,0.785714,0.383721
phase3_full_v1,val,window,Window Features: Arch - Rounded,203,637,152,485,51,3217,0.238619,0.748768,0.361905
phase3_full_v1,val,window,Window Features: Cottage Window,172,718,144,574,28,3159,0.200557,0.837209,0.323596
phase3_full_v1,val,window,Window Features: Oriel Window,107,296,23,273,84,3525,0.077703,0.214953,0.114144
phase3_full_v1,val,window,Window Features: Stone Lintel,101,393,41,352,60,3452,0.104326,0.405941,0.165992
phase3_full_v1,val,window,Window Features: Ribbon Windows,67,30,1,29,66,3809,0.033333,0.014925,0.020619
phase3_full_v1,val,entrance,Entrance Location: Front Facade,3505,2515,2347,168,1158,232,0.933201,0.669615,0.779734
phase3_full_v1,val,entrance,Entrance Location: Right Side,588,1389,326,1063,262,2254,0.234701,0.554422,0.329793
phase3_full_v1,val,entrance,Entrance Location: Left Side,542,1456,314,1142,228,2221,0.215659,0.579336,0.314314
phase3_full_v1,val,entrance,Entrance Location: Rear,372,1293,224,1069,148,2464,0.173241,0.602151,0.269069
phase3_full_v1,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,1266,635,631,639,2000,0.50158,0.49843,0.5
phase3_full_v1,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,1779,961,818,159,1967,0.540191,0.858036,0.662987
phase3_full_v1,val,entrance,Entrance Type: Stoop - Low,664,1617,457,1160,207,2081,0.282622,0.688253,0.400701
phase3_full_v1,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,1438,368,1070,278,2189,0.255911,0.569659,0.353167
