run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_full_v1,val,landscape_features,Walkway - Brick,87,0.5,7,0.0,0.0,0.0,0.1,2368,0.023649,0.643678,0.045621,0.045621
phase3_full_v1,val,landscape_features,Fence - Historic,60,0.5,1,1.0,0.016667,0.032787,0.15,689,0.020319,0.233333,0.037383,0.004596
phase3_full_v1,val,window,Window Type: Double/Single Hung,2839,0.5,2657,0.889725,0.832688,0.860262,0.25,3151,0.841638,0.934132,0.885476,0.025214
phase3_full_v1,val,window,Window Type: Fixed,2817,0.5,2379,0.812526,0.686191,0.744034,0.1,3867,0.724851,0.99503,0.838719,0.094685
phase3_full_v1,val,window,Window Type: Sliding,2197,0.5,1708,0.729508,0.567137,0.638156,0.25,3343,0.605743,0.921711,0.731047,0.092891
phase3_full_v1,val,window,Window Type: Casement,736,0.5,1760,0.2625,0.627717,0.370192,0.5,1760,0.2625,0.627717,0.370192,0.0
phase3_full_v1,val,window,Window Type: Unknown Window Type,660,0.5,1897,0.259884,0.74697,0.385608,0.6,1231,0.303006,0.565152,0.3945,0.008892
phase3_full_v1,val,window,Window Type: Hopper/Awning,369,0.5,1487,0.174849,0.704607,0.280172,0.7,682,0.234604,0.433604,0.304472,0.0243
phase3_full_v1,val,window,Window Features: Rowlock Sill,1880,0.5,1852,0.827214,0.814894,0.821008,0.55,1779,0.844857,0.799468,0.821536,0.000528
phase3_full_v1,val,window,Window Features: None,1850,0.5,1509,0.687873,0.561081,0.618041,0.35,2432,0.59375,0.780541,0.674451,0.05641
phase3_full_v1,val,window,Window Features: Paired Windows,1525,0.5,2094,0.531041,0.72918,0.614534,0.45,2320,0.511207,0.777705,0.616905,0.002371
phase3_full_v1,val,window,Window Features: Tripartite Window,1201,0.5,1929,0.462416,0.742714,0.569968,0.45,2154,0.448004,0.803497,0.575261,0.005293
phase3_full_v1,val,window,Window Features: Stone Sill,1198,0.5,1446,0.72545,0.875626,0.793495,0.65,1273,0.786332,0.835559,0.810198,0.016704
phase3_full_v1,val,window,Window Features: Divided Lights - All,1123,0.5,1851,0.447866,0.738201,0.557498,0.5,1851,0.447866,0.738201,0.557498,0.0
phase3_full_v1,val,window,Window Features: Dormer Window,873,0.5,1175,0.64,0.861397,0.734375,0.8,835,0.780838,0.74685,0.763466,0.029091
phase3_full_v1,val,window,Window Features: Arch - Segmented,724,0.5,1141,0.567046,0.893646,0.693834,0.7,962,0.615385,0.81768,0.702254,0.00842
phase3_full_v1,val,window,Window Features: Decorative Surround,816,0.5,1619,0.376776,0.747549,0.501027,0.55,1428,0.398459,0.697304,0.50713,0.006103
phase3_full_v1,val,window,Window Features: Grouped Windows,709,0.5,1514,0.322325,0.688293,0.439046,0.6,1047,0.376313,0.555712,0.448747,0.009701
phase3_full_v1,val,window,Window Features: Picture Window,558,0.5,1434,0.249651,0.641577,0.359438,0.6,821,0.326431,0.480287,0.388687,0.02925
phase3_full_v1,val,window,Window Features: Divided Lights - Some,466,0.5,1662,0.202768,0.723176,0.316729,0.7,931,0.26638,0.532189,0.355047,0.038317
phase3_full_v1,val,window,Window Features: Transom,281,0.5,1227,0.128769,0.562278,0.209549,0.55,1001,0.135864,0.483986,0.212168,0.002619
phase3_full_v1,val,window,Window Features: Stained/Leaded Glass,294,0.5,910,0.253846,0.785714,0.383721,0.75,456,0.355263,0.55102,0.432,0.048279
phase3_full_v1,val,window,Window Features: Arch - Rounded,203,0.5,637,0.238619,0.748768,0.361905,0.8,332,0.334337,0.546798,0.414953,0.053049
phase3_full_v1,val,window,Window Features: Cottage Window,172,0.5,718,0.200557,0.837209,0.323596,0.85,196,0.357143,0.406977,0.380435,0.056839
phase3_full_v1,val,window,Window Features: Oriel Window,107,0.5,296,0.077703,0.214953,0.114144,0.45,399,0.085213,0.317757,0.134387,0.020243
phase3_full_v1,val,window,Window Features: Stone Lintel,101,0.5,393,0.104326,0.405941,0.165992,0.5,393,0.104326,0.405941,0.165992,0.0
phase3_full_v1,val,window,Window Features: Ribbon Windows,67,0.5,30,0.033333,0.014925,0.020619,0.3,230,0.069565,0.238806,0.107744,0.087126
phase3_full_v1,val,entrance,Entrance Location: Front Facade,3505,0.5,2515,0.933201,0.669615,0.779734,0.1,3903,0.897515,0.999429,0.945734,0.166
phase3_full_v1,val,entrance,Entrance Location: Right Side,588,0.5,1389,0.234701,0.554422,0.329793,0.5,1389,0.234701,0.554422,0.329793,0.0
phase3_full_v1,val,entrance,Entrance Location: Left Side,542,0.5,1456,0.215659,0.579336,0.314314,0.5,1456,0.215659,0.579336,0.314314,0.0
phase3_full_v1,val,entrance,Entrance Location: Rear,372,0.5,1293,0.173241,0.602151,0.269069,0.75,494,0.267206,0.354839,0.30485,0.035781
phase3_full_v1,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,0.5,1266,0.50158,0.49843,0.5,0.35,2404,0.422213,0.796703,0.55193,0.05193
phase3_full_v1,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,0.5,1779,0.540191,0.858036,0.662987,0.65,1474,0.59498,0.783036,0.676176,0.013189
phase3_full_v1,val,entrance,Entrance Type: Stoop - Low,664,0.5,1617,0.282622,0.688253,0.400701,0.55,1390,0.300719,0.629518,0.407011,0.006309
phase3_full_v1,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,0.5,1438,0.255911,0.569659,0.353167,0.55,1155,0.283117,0.506192,0.363132,0.009965
phase3_full_v1,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,0.5,1266,0.256714,0.764706,0.384388,0.7,728,0.348901,0.597647,0.44059,0.056202
phase3_full_v1,val,entrance,Entrance Type: Stoop - High,452,0.5,1215,0.231276,0.621681,0.337133,0.6,777,0.281853,0.484513,0.356387,0.019255
phase3_full_v1,val,entrance,Entrance Type: Other Entrance Type,118,0.5,235,0.080851,0.161017,0.107649,0.45,319,0.07837,0.211864,0.114416,0.006768
phase3_full_v1,val,entrance,Entrance Type: Unknown - Not Visible,99,0.5,74,0.067568,0.050505,0.057803,0.25,684,0.059942,0.414141,0.104725,0.046922
phase3_full_v1,val,entrance,Entrance Type: Storefront,101,0.5,160,0.525,0.831683,0.643678,0.65,128,0.625,0.792079,0.69869,0.055012
phase3_full_v1,val,entrance,Entrance Type: Vehicular Entrance,56,0.5,100,0.36,0.642857,0.461538,0.7,74,0.418919,0.553571,0.476923,0.015385
phase3_full_v1,val,associated_buildings,Building/Object Type: Garage - Detached,1833,0.5,2256,0.588209,0.72395,0.649058,0.3,3067,0.54581,0.913257,0.683265,0.034207
phase3_full_v1,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,0.5,1420,0.140845,0.477327,0.21751,0.45,1748,0.135584,0.565632,0.218736,0.001226
phase3_full_v1,val,associated_buildings,Building/Object Type: Garage – Attached,268,0.5,1126,0.158082,0.664179,0.25538,0.85,247,0.331984,0.30597,0.318447,0.063066
phase3_full_v1,val,associated_buildings,Building/Object Type: Carport - Attached,95,0.5,30,0.166667,0.052632,0.08,0.4,78,0.179487,0.147368,0.16185,0.08185
phase3_full_v1,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,0.5,13,0.0,0.0,0.0,0.3,371,0.067385,0.290698,0.109409,0.109409
phase3_full_v1,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,0.5,13,0.230769,0.027273,0.04878,0.15,730,0.045205,0.3,0.078571,0.029791
phase3_full_v1,val,roof_materials,Shingles - Asphalt,3465,0.5,3292,0.984204,0.935065,0.959005,0.1,3468,0.976644,0.977489,0.977066,0.018061
phase3_full_v1,val,roof_materials,Unknown Roof Material,399,0.5,520,0.686538,0.894737,0.776931,0.9,413,0.811138,0.839599,0.825123,0.048192
phase3_full_v1,val,roof_materials,Terra Cotta Tile,8,0.5,125,0.024,0.375,0.045113,0.9,20,0.1,0.25,0.142857,0.097744
phase3_full_v1,val,roof_materials,Metal,29,0.5,58,0.206897,0.413793,0.275862,0.9,27,0.407407,0.37931,0.392857,0.116995
phase3_full_v1,val,roof_materials,Shingles - Concrete,14,0.5,5,0.0,0.0,0.0,0.1,352,0.011364,0.285714,0.021858,0.021858
phase3_full_v1,val,roof_materials,Rare Roof Material,13,0.5,15,0.0,0.0,0.0,0.25,52,0.038462,0.153846,0.061538,0.061538
phase3_v2_visual_retention,val,wall_features,Foundation - Not Visible,1442,0.5,1985,0.548111,0.754508,0.634958,0.45,2188,0.530622,0.805132,0.639669,0.004712
phase3_v2_visual_retention,val,wall_features,Foundation - Concrete,1176,0.5,1474,0.577341,0.723639,0.642264,0.45,1631,0.553035,0.767007,0.642679,0.000415
phase3_v2_visual_retention,val,wall_features,Brick - Patterned,1165,0.5,1590,0.516352,0.704721,0.596007,0.5,1590,0.516352,0.704721,0.596007,0.0
phase3_v2_visual_retention,val,wall_features,Belt Course,995,0.5,1628,0.471744,0.771859,0.585589,0.45,1728,0.462384,0.803015,0.586853,0.001264
phase3_v2_visual_retention,val,wall_features,Brick - Polychromatic,1007,0.5,1544,0.522021,0.800397,0.631909,0.5,1544,0.522021,0.800397,0.631909,0.0
phase3_v2_visual_retention,val,wall_features,Gable Vents,795,0.5,1646,0.385784,0.798742,0.520279,0.6,1351,0.42339,0.719497,0.533085,0.012806
phase3_v2_visual_retention,val,wall_features,Brick - Corbeled,613,0.5,1360,0.344853,0.76509,0.475418,0.65,968,0.396694,0.626427,0.485769,0.01035
phase3_v2_visual_retention,val,wall_features,Shingles in Gable - Decorative,414,0.5,621,0.549114,0.823671,0.658937,0.7,487,0.655031,0.770531,0.708102,0.049165
phase3_v2_visual_retention,val,wall_features,Half-Timbering,394,0.5,973,0.361768,0.893401,0.514996,0.9,469,0.52452,0.624365,0.570104,0.055108
phase3_v2_visual_retention,val,wall_features,Shutters,308,0.5,853,0.186401,0.516234,0.273902,0.6,572,0.22028,0.409091,0.286364,0.012462
phase3_v2_visual_retention,val,wall_features,Masonry Bay,344,0.5,1003,0.261216,0.761628,0.389013,0.65,686,0.325073,0.648256,0.43301,0.043997
phase3_v2_visual_retention,val,wall_features,Foundation - Brick,318,0.5,880,0.218182,0.603774,0.320534,0.7,491,0.274949,0.424528,0.333745,0.013211
phase3_v2_visual_retention,val,wall_features,Awnings,297,0.5,503,0.22664,0.383838,0.285,0.45,682,0.211144,0.484848,0.294178,0.009178
phase3_v2_visual_retention,val,wall_features,Engaged Columns,277,0.5,782,0.263427,0.743682,0.389046,0.75,416,0.34375,0.516245,0.412698,0.023652
phase3_v2_visual_retention,val,wall_features,Shingles in Gable - Plain,199,0.5,701,0.161198,0.567839,0.251111,0.75,250,0.244,0.306533,0.271715,0.020604
phase3_v2_visual_retention,val,wall_features,Foundation - Stone,170,0.5,747,0.178046,0.782353,0.290076,0.75,432,0.217593,0.552941,0.312292,0.022216
phase3_v2_visual_retention,val,wall_features,Quoins,169,0.5,397,0.133501,0.313609,0.187279,0.2,1032,0.120155,0.733728,0.206495,0.019215
phase3_v2_visual_retention,val,wall_features,Other Wall Details,82,0.5,175,0.074286,0.158537,0.101167,0.45,239,0.100418,0.292683,0.149533,0.048365
phase3_v2_visual_retention,val,wall_features,Rowlock Course,86,0.5,25,0.28,0.081395,0.126126,0.35,164,0.128049,0.244186,0.168,0.041874
phase3_v2_visual_retention,val,wall_features,Attached Sign,97,0.5,214,0.345794,0.762887,0.475884,0.85,109,0.504587,0.56701,0.533981,0.058096
phase3_v2_visual_retention,val,wall_features,Balcony,53,0.5,254,0.102362,0.490566,0.169381,0.6,182,0.126374,0.433962,0.195745,0.026364
phase3_v2_visual_retention,val,landscape_features,Walkway - Concrete,3182,0.5,2524,0.877971,0.696417,0.776726,0.1,3777,0.828435,0.983344,0.899267,0.122541
phase3_v2_visual_retention,val,landscape_features,Fence - Rear,2973,0.5,2346,0.859761,0.678439,0.758413,0.1,3624,0.800497,0.975782,0.879491,0.121077
phase3_v2_visual_retention,val,landscape_features,Fence - Left Side,1278,0.5,1391,0.544932,0.593114,0.568003,0.4,1870,0.484492,0.70892,0.575604,0.007601
phase3_v2_visual_retention,val,landscape_features,Fence - Right Side,1298,0.5,1378,0.544267,0.577812,0.560538,0.4,1882,0.484591,0.702619,0.573585,0.013047
phase3_v2_visual_retention,val,landscape_features,Driveway - Solid,1015,0.5,1552,0.434278,0.664039,0.525127,0.5,1552,0.434278,0.664039,0.525127,0.0
phase3_v2_visual_retention,val,landscape_features,Wall - Retaining,880,0.5,2007,0.298455,0.680682,0.414964,0.45,2307,0.291721,0.764773,0.422341,0.007377
phase3_v2_visual_retention,val,landscape_features,Fence - Front,920,0.5,1244,0.512058,0.692391,0.588725,0.5,1244,0.512058,0.692391,0.588725,0.0
phase3_v2_visual_retention,val,landscape_features,Denver Roll,995,0.5,1833,0.387889,0.714573,0.502829,0.5,1833,0.387889,0.714573,0.502829,0.0
phase3_v2_visual_retention,val,landscape_features,Built-In Planters,490,0.5,1850,0.154595,0.583673,0.244444,0.6,1122,0.182709,0.418367,0.254342,0.009898
phase3_v2_visual_retention,val,landscape_features,Walkway - Stone,291,0.5,1031,0.173618,0.61512,0.270802,0.6,685,0.194161,0.457045,0.272541,0.001739
phase3_v2_visual_retention,val,landscape_features,Parking Lot,216,0.5,436,0.401376,0.810185,0.53681,0.8,260,0.584615,0.703704,0.638655,0.101846
phase3_v2_visual_retention,val,landscape_features,Stone Public Sidewalk,135,0.5,532,0.135338,0.533333,0.215892,0.75,233,0.201717,0.348148,0.255435,0.039543
phase3_v2_visual_retention,val,landscape_features,Fence - Ornamental,121,0.5,300,0.113333,0.280992,0.16152,0.55,244,0.131148,0.264463,0.175342,0.013822
phase3_v2_visual_retention,val,landscape_features,Driveway - Ribbon,112,0.5,90,0.055556,0.044643,0.049505,0.2,978,0.056237,0.491071,0.100917,0.051412
phase3_v2_visual_retention,val,landscape_features,Driveway - Unpaved,74,0.5,209,0.090909,0.256757,0.134276,0.45,296,0.087838,0.351351,0.140541,0.006265
phase3_v2_visual_retention,val,landscape_features,Walkway - Brick,87,0.5,28,0.0,0.0,0.0,0.1,1892,0.023256,0.505747,0.044467,0.044467
phase3_v2_visual_retention,val,landscape_features,Fence - Historic,60,0.5,2,0.5,0.016667,0.032258,0.4,18,0.111111,0.033333,0.051282,0.019024
phase3_v2_visual_retention,val,window,Window Type: Double/Single Hung,2839,0.5,2637,0.892302,0.828813,0.859386,0.25,3107,0.849372,0.929553,0.887656,0.028269
phase3_v2_visual_retention,val,window,Window Type: Fixed,2817,0.5,2042,0.832027,0.603124,0.699321,0.1,3781,0.734197,0.985446,0.841467,0.142146
phase3_v2_visual_retention,val,window,Window Type: Sliding,2197,0.5,1859,0.715976,0.605826,0.656312,0.2,3571,0.591991,0.962221,0.73301,0.076698
phase3_v2_visual_retention,val,window,Window Type: Casement,736,0.5,1680,0.269048,0.61413,0.374172,0.5,1680,0.269048,0.61413,0.374172,0.0
phase3_v2_visual_retention,val,window,Window Type: Unknown Window Type,660,0.5,1807,0.269507,0.737879,0.394812,0.55,1520,0.286842,0.660606,0.4,0.005188
phase3_v2_visual_retention,val,window,Window Type: Hopper/Awning,369,0.5,1409,0.180979,0.691057,0.286839,0.7,680,0.244118,0.449864,0.316492,0.029653
phase3_v2_visual_retention,val,window,Window Features: Rowlock Sill,1880,0.5,1701,0.867137,0.784574,0.823792,0.45,1773,0.850536,0.802128,0.825623,0.001831
phase3_v2_visual_retention,val,window,Window Features: None,1850,0.5,1804,0.652439,0.636216,0.644226,0.4,2408,0.596346,0.776216,0.674495,0.03027
phase3_v2_visual_retention,val,window,Window Features: Paired Windows,1525,0.5,1847,0.552788,0.669508,0.605575,0.35,2488,0.50201,0.819016,0.622477,0.016902
phase3_v2_visual_retention,val,window,Window Features: Tripartite Window,1201,0.5,1692,0.484634,0.682764,0.566886,0.4,2162,0.444958,0.800999,0.572108,0.005223
phase3_v2_visual_retention,val,window,Window Features: Stone Sill,1198,0.5,1335,0.764045,0.851419,0.805369,0.6,1223,0.806214,0.823038,0.814539,0.00917
phase3_v2_visual_retention,val,window,Window Features: Divided Lights - All,1123,0.5,1694,0.453365,0.683882,0.545261,0.45,1889,0.438857,0.738201,0.550465,0.005204
phase3_v2_visual_retention,val,window,Window Features: Dormer Window,873,0.5,1119,0.660411,0.846506,0.741968,0.75,855,0.768421,0.752577,0.760417,0.018449
phase3_v2_visual_retention,val,window,Window Features: Arch - Segmented,724,0.5,1097,0.578851,0.877072,0.697419,0.6,1003,0.611167,0.846685,0.709902,0.012483
phase3_v2_visual_retention,val,window,Window Features: Decorative Surround,816,0.5,1553,0.385705,0.734069,0.505699,0.5,1553,0.385705,0.734069,0.505699,0.0
phase3_v2_visual_retention,val,window,Window Features: Grouped Windows,709,0.5,1483,0.325691,0.681241,0.440693,0.55,1283,0.35074,0.634697,0.451807,0.011114
phase3_v2_visual_retention,val,window,Window Features: Picture Window,558,0.5,1244,0.269293,0.600358,0.371809,0.65,576,0.394097,0.40681,0.400353,0.028544
phase3_v2_visual_retention,val,window,Window Features: Divided Lights - Some,466,0.5,1459,0.224126,0.701717,0.33974,0.6,1088,0.248162,0.579399,0.34749,0.00775
phase3_v2_visual_retention,val,window,Window Features: Transom,281,0.5,939,0.13951,0.466192,0.214754,0.55,712,0.161517,0.409253,0.231621,0.016867
phase3_v2_visual_retention,val,window,Window Features: Stained/Leaded Glass,294,0.5,755,0.283444,0.727891,0.408008,0.7,433,0.3903,0.57483,0.464924,0.056917
phase3_v2_visual_retention,val,window,Window Features: Arch - Rounded,203,0.5,532,0.274436,0.719212,0.397279,0.65,388,0.332474,0.635468,0.436548,0.039269
phase3_v2_visual_retention,val,window,Window Features: Cottage Window,172,0.5,626,0.220447,0.802326,0.345865,0.75,287,0.320557,0.534884,0.400871,0.055007
phase3_v2_visual_retention,val,window,Window Features: Oriel Window,107,0.5,217,0.078341,0.158879,0.104938,0.4,384,0.080729,0.28972,0.126273,0.021335
phase3_v2_visual_retention,val,window,Window Features: Stone Lintel,101,0.5,442,0.10181,0.445545,0.165746,0.5,442,0.10181,0.445545,0.165746,0.0
phase3_v2_visual_retention,val,window,Window Features: Ribbon Windows,67,0.5,81,0.074074,0.089552,0.081081,0.4,167,0.077844,0.19403,0.111111,0.03003
phase3_v2_visual_retention,val,entrance,Entrance Location: Front Facade,3505,0.5,2471,0.937272,0.66077,0.7751,0.15,3869,0.901525,0.99515,0.946027,0.170926
phase3_v2_visual_retention,val,entrance,Entrance Location: Right Side,588,0.5,1589,0.225928,0.610544,0.329812,0.5,1589,0.225928,0.610544,0.329812,0.0
phase3_v2_visual_retention,val,entrance,Entrance Location: Left Side,542,0.5,1474,0.225237,0.612546,0.329365,0.5,1474,0.225237,0.612546,0.329365,0.0
phase3_v2_visual_retention,val,entrance,Entrance Location: Rear,372,0.5,1254,0.178628,0.602151,0.275523,0.65,782,0.221228,0.465054,0.299827,0.024304
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,0.5,1509,0.487078,0.576923,0.528207,0.4,2166,0.441367,0.750392,0.555814,0.027607
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,0.5,1573,0.582962,0.81875,0.681025,0.55,1471,0.601632,0.790179,0.683134,0.002109
phase3_v2_visual_retention,val,entrance,Entrance Type: Stoop - Low,664,0.5,1820,0.271429,0.743976,0.397746,0.55,1619,0.287214,0.700301,0.407359,0.009613
phase3_v2_visual_retention,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,0.5,1402,0.259629,0.563467,0.355469,0.55,1143,0.285214,0.504644,0.364449,0.008981
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,0.5,1183,0.279797,0.778824,0.411692,0.7,693,0.365079,0.595294,0.452594,0.040902
phase3_v2_visual_retention,val,entrance,Entrance Type: Stoop - High,452,0.5,1135,0.244053,0.612832,0.349086,0.65,634,0.31388,0.440265,0.366483,0.017396
phase3_v2_visual_retention,val,entrance,Entrance Type: Other Entrance Type,118,0.5,283,0.088339,0.211864,0.124688,0.55,207,0.101449,0.177966,0.129231,0.004542
phase3_v2_visual_retention,val,entrance,Entrance Type: Unknown - Not Visible,99,0.5,84,0.047619,0.040404,0.043716,0.35,267,0.074906,0.20202,0.10929,0.065574
phase3_v2_visual_retention,val,entrance,Entrance Type: Storefront,101,0.5,140,0.578571,0.80198,0.672199,0.7,108,0.685185,0.732673,0.708134,0.035935
