run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_v2_visual_retention,val,entrance,Entrance Type: Vehicular Entrance,56,0.5,107,0.364486,0.696429,0.478528,0.7,81,0.419753,0.607143,0.49635,0.017823
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Garage - Detached,1833,0.5,2316,0.593696,0.750136,0.66281,0.25,3194,0.53851,0.938352,0.684305,0.021494
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,0.5,1740,0.13908,0.577566,0.224178,0.5,1740,0.13908,0.577566,0.224178,0.0
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Garage – Attached,268,0.5,930,0.176344,0.61194,0.27379,0.8,267,0.355805,0.354478,0.35514,0.081351
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Carport - Attached,95,0.5,63,0.206349,0.136842,0.164557,0.5,63,0.206349,0.136842,0.164557,0.0
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,0.5,22,0.090909,0.023256,0.037037,0.25,384,0.078125,0.348837,0.12766,0.090623
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,0.5,25,0.16,0.036364,0.059259,0.3,176,0.0625,0.1,0.076923,0.017664
phase3_v2_visual_retention,val,roof_materials,Shingles - Asphalt,3465,0.5,3279,0.984446,0.931602,0.957295,0.1,3451,0.978847,0.974892,0.976865,0.01957
phase3_v2_visual_retention,val,roof_materials,Unknown Roof Material,399,0.5,515,0.691262,0.892231,0.778993,0.8,441,0.77551,0.857143,0.814286,0.035292
phase3_v2_visual_retention,val,roof_materials,Terra Cotta Tile,8,0.5,101,0.019802,0.25,0.036697,0.9,18,0.111111,0.25,0.153846,0.117149
phase3_v2_visual_retention,val,roof_materials,Metal,29,0.5,68,0.176471,0.413793,0.247423,0.9,30,0.366667,0.37931,0.372881,0.125459
phase3_v2_visual_retention,val,roof_materials,Shingles - Concrete,14,0.5,10,0.0,0.0,0.0,0.15,106,0.018868,0.142857,0.033333,0.033333
phase3_v2_visual_retention,val,roof_materials,Rare Roof Material,13,0.5,15,0.0,0.0,0.0,0.15,79,0.025316,0.153846,0.043478,0.043478
